NAME,YEAR,THEME,Number of unique parts,Number of parts,UNIQUENESS
Robotics Invention System Upgrade Kit (2.0),2002,RCX,1,1,1.000000
Storage Case,1985,Supplemental,1,1,1.000000
NXT Temperature Sensor,2009,NXT,1,1,1.000000
X-Pod Play Off Game Pack,2004,X-Pod,2,2,1.000000
LEGO Digital Designer Promo,2009,Other,3,3,1.000000
"LEGO Town Plan Board, UK / Australian Cardboard Version",1962,Town Plan,1,1,1.000000
Super Heroes Unite - Bizarro - San Diego Comic-Con 2012 Exclusive,2012,Justice League,1,1,1.000000
Andrea,1997,Scala,1,1,1.000000
Infrared Link Sensor for Mindstorms NXT,2011,NXT,1,1,1.000000
Friends Tumbler,2012,Gear,1,1,1.000000
Idea Book 8890,1988,Technic,1,1,1.000000
Alphabet Bricks,1969,Supplemental,33,33,1.000000
Plastic Figure - RASCUS (Nestle Promotional),2005,Knights Kingdom II,3,3,1.000000
The Grand Tournament Limited Edition Value Pack,2004,Knights Kingdom II,2,2,1.000000
Floor Plate 1/1,1997,Scala,1,1,1.000000
One Light Bulb,1969,Supplemental,1,1,1.000000
World Cup UK Starter Set,1998,Soccer,1,1,1.000000
Adventurers Value Pack (TRU Exclusive),2001,Desert,1,1,1.000000
Plastic Figure - Dark Knight (Nestle Promotional),2005,Knights Kingdom II,3,3,1.000000
Screws for Motor Case,1977,Service Packs,1,1,1.000000
Individual 2 x 12 Bricks,1954,Supplemental,1,1,1.000000
Pneumatic Tubing Service Pack,2002,Technic,2,2,1.000000
Building Cards - 1030,1983,Supplemental,20,20,1.000000
Pneumatic Value Pack,1990,Technic,4,4,1.000000
Curved Road Plates,2002,Supplemental,1,1,1.000000
Individual 2 x 10 Bricks,1954,Supplemental,1,1,1.000000
World Cup German Starter Set,1998,Soccer,1,1,1.000000
LEGO Minifigure Ultimate Sticker Collection,2011,Gear,1,1,1.000000
The LEGO Ideas Book - Unlock Your Imagination [ISBN-13 9780756686062],2009,Books,1,1,1.000000
T-Junction & Curved Road Plates,2005,Supplemental,2,2,1.000000
Building Cards - 1032,1985,Supplemental,20,20,1.000000
"Advent Calendar 2012, Star Wars",2012,Star Wars,1,1,1.000000
My Lego Network Promo LEGO World 2009,2009,Other,3,3,1.000000
12V New Transformer for 220V Pack,1974,12V,1,1,1.000000
Lockable Storage Case,1966,Supplemental,1,1,1.000000
Basic Building Set + Storage Case,1983,Basic Set,1,1,1.000000
Scorpion Palace and Foam Scimitar,2003,Orient Expedition,1,1,1.000000
Vakama Promotional Set (Woolworth's Exclusive),2003,Turaga,2,2,1.000000
Traffic Signs,1966,Supplemental,14,14,1.000000
Rechargeable Battery Box,2009,Power Functions,1,1,1.000000
"1 x 2 x 1 Window, Red or White",1966,Supplemental,1,1,1.000000
World Cup Dutch Starter Set,1998,Soccer,1,1,1.000000
LEGO Large Tote,2011,Gear,1,1,1.000000
NXT Rechargeable Battery,2006,NXT,1,1,1.000000
Building Cards - 1090,1992,Supplemental,5,5,1.000000
Ring Me Rabbit,1987,Duplo,3,3,1.000000
Rail Crossing,1999,9V,1,1,1.000000
Mr. Magoriums big book (Mr. Magorium's Wonder Emporium),2007,Basic Model,9,9,1.000000
Spinner Ring,2012,Ninjago,1,1,1.000000
Control Lab Serial Interface & Adapter,1995,Control Lab,2,2,1.000000
Building Cards - 1092,1992,Supplemental,4,4,1.000000
Plastic Figure - Sir SANTIS (Nestle Promotional),2005,Knights Kingdom II,3,3,1.000000
"Idea Book 8891, Technic",1991,Technic,1,1,1.000000
Individual 2 x 8 Bricks,1954,Supplemental,1,1,1.000000
Null Set-Use SW911506-1,2015,Other,1,1,1.000000
Floor Plate,1998,Scala,1,1,1.000000
Idea Book 250,1987,Books,1,1,1.000000
NXT Magnetic Sensor,2010,NXT,1,1,1.000000
Motorized Simple Machines Set,1997,Technic,2,2,1.000000
